year,category,value,unit,scenario,figure_type
2039,Daesan,5.804613158015574,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2040,Daesan,5.243412921777668,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2041,Daesan,4.964817090216707,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2042,Daesan,4.684216972097754,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2043,Daesan,3.6133124415163276,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2044,Daesan,1.7440970765441903,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2045,Daesan,1.4534142304534918,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2046,Daesan,1.1627313843627936,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2047,Daesan,0.8720485382720952,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2048,Daesan,0.5813656921813968,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2049,Daesan,0.2906828460906984,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2050,Daesan,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2025,Ulsan,19.244286327143506,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2026,Ulsan,17.709084852906987,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2027,Ulsan,17.41325252976241,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2028,Ulsan,16.136721452123613,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2029,Ulsan,15.83551336586895,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2030,Ulsan,15.534305279614285,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2031,Ulsan,15.019100878901773,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2032,Ulsan,14.777296404083225,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2033,Ulsan,14.535491929264682,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2034,Ulsan,13.960304399997883,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2035,Ulsan,12.8161570120799,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2036,Ulsan,12.320159639065038,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2037,Ulsan,11.048435736054772,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2038,Ulsan,10.521599736120477,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2039,Ulsan,9.80296077196172,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2040,Ulsan,9.081746040906337,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2041,Ulsan,8.723714442275273,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2042,Ulsan,6.617523306149326,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2043,Ulsan,6.2494608326667676,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2044,Ulsan,5.884027376851942,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2045,Ulsan,4.400161788908201,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2046,Ulsan,4.027394042372161,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2047,Ulsan,1.988725551618347,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2048,Ulsan,1.0513692257872604,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2049,Ulsan,0.6693131480287652,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2050,Ulsan,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2025,Other,0.3758121811274001,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2026,Other,0.4226454522382944,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2027,Other,0.4131068961800786,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2028,Other,0.4035683401218629,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2029,Other,0.39402978406364714,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2030,Other,0.38449122800543134,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2031,Other,0.376871347016397,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2032,Other,0.3692514660273626,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2033,Other,0.3616315850383282,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2034,Other,0.3540117040492938,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2035,Other,0.34639182306025934,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2036,Other,0.33109724179449956,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2037,Other,0.315747841241049,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2038,Other,0.2974362224594367,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2039,Other,0.2550321825686943,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2040,Other,0.21247615687189192,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2041,Other,0.19135012982955074,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2042,Other,0.17007211698114957,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2043,Other,0.14879410413274835,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2044,Other,0.12766807709040717,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2045,Other,0.10639006424200599,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2046,Other,0.08511205139360478,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2047,Other,0.06383403854520359,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2048,Other,0.0425560256968024,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2049,Other,0.021278012848401195,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
2050,Other,0.0,MtCO2_per_yr,shaheen_ncc_h2_flat_coupled,stacked_area
